mean_regret,std_regret,time_step
0.08574644666272904,0.046624897794207656,0
0.18166278394274032,0.05328707792131763,1
0.2605208000514595,0.07593535380015168,2
0.3362430395531509,0.08909977729734044,3
0.42136064124284645,0.10976998771047473,4
0.5076315183317089,0.12475191484148543,5
0.5788083194808572,0.13473186903134823,6
0.63876274595332,0.116247634931677,7
0.715680157308437,0.12485479660433499,8
0.8028803116482137,0.12130545398397545,9
0.8851230109722754,0.13974606897724062,10
0.9534343595001642,0.1623671008629421,11
1.0302066814396278,0.17892519169726104,12
1.1008437399679956,0.20738604027564406,13
1.1842862952342461,0.22854965110417227,14
1.2450683410715917,0.23798726914710464,15
1.3116846666761586,0.25310810333848427,16
1.405244084252282,0.25929028443031227,17
1.495023520226351,0.2807514244462963,18
1.5798952305523488,0.29051766354921427,19
1.659549765181345,0.28180948175213977,20
1.7424456834574908,0.29222105958348576,21
1.8235598158394741,0.30291600753466075,22
1.8778596782564851,0.303848071898477,23
1.9528002267234021,0.32315069126206813,24
2.025104233189389,0.34486303009727276,25
2.0982489317489086,0.3708599155153643,26
2.177405796420002,0.3829241406779534,27
2.2645753704747418,0.39540663868937814,28
2.3443694308353185,0.4019959702757634,29
2.4142144601666136,0.42665673790802705,30
2.516711907111554,0.4442830785082287,31
2.602401826666667,0.4599298625280353,32
2.692202337802442,0.466895554967522,33
2.7825641613574095,0.46315088779915187,34
2.8568502592587826,0.48276551303252235,35
2.909767819552079,0.48932456127077134,36
2.983477311015588,0.5083821058303354,37
3.0652140729974695,0.5217782349595934,38
3.149107937435521,0.541073300859524,39
3.2300864120414685,0.5579295818885632,40
3.3148666168357273,0.5676797881329637,41
3.3891763464737563,0.5871904110048131,42
3.4687730825317202,0.6070546138754791,43
3.540536926436681,0.6191838519047879,44
3.613771778516745,0.644366768113059,45
3.693837251615592,0.6506764396231041,46
3.78810747066212,0.6754046838493936,47
3.8599792300964326,0.6837284245410198,48
3.9245255563013552,0.686161471776076,49
4.00717844781526,0.695671337862382,50
4.082967483380476,0.7178011534401613,51
4.172480802181208,0.7331673835611147,52
4.252332109361481,0.734108035103153,53
4.328375121970782,0.7326264478540471,54
4.377537297508969,0.7537667006546591,55
4.45542907160494,0.7837207260576876,56
4.537172675595231,0.7938822126246554,57
4.629736134385099,0.801589905461628,58
4.698554896999106,0.8260369808934523,59
4.795898624163926,0.8351154820933779,60
4.869547305928388,0.8390106921716276,61
4.934987387280778,0.8686474016360259,62
5.010977600697992,0.8867097473696359,63
5.076591705785719,0.8820708862150428,64
5.157390275011516,0.8926885140922578,65
5.2479787540948095,0.9251714615867774,66
5.313035201875248,0.9324205693234325,67
5.408423257930494,0.9460908635171956,68
5.46537688360255,0.9434561996466133,69
5.53184453890017,0.9507716819505798,70
5.606207819658003,0.9696826010160761,71
5.690504011009244,0.9893301257974065,72
5.752706898185919,0.9998469612618045,73
5.83495806296338,1.0179239696235536,74
5.90403828232549,1.0368213877469525,75
5.972768454678757,1.0350324784621043,76
6.052984879962111,1.0530632288848354,77
6.126270129013177,1.0569661907562866,78
6.2027732991742415,1.0670428786140025,79
6.287428934373168,1.0929678477772078,80
6.362125664111106,1.101411079860691,81
6.442515555126374,1.1195992379252018,82
6.528814860990201,1.1358831122862005,83
6.593417396659707,1.1427809389280112,84
6.662586444159794,1.1677522696120588,85
6.741879751939232,1.1745916965834773,86
6.832884804933211,1.191496584099715,87
6.907460319913994,1.2155200732076232,88
6.978445468411017,1.229057890225292,89
7.0590728850903846,1.2483501087567397,90
7.136140947127549,1.2706383786365567,91
7.203851210959369,1.291689715273797,92
7.266931844540752,1.291412865859063,93
7.337480091978849,1.3108927755323792,94
7.3998504594305645,1.3313380790509017,95
7.476957983593374,1.3359136921945425,96
7.554976012208726,1.3555939842523035,97
7.643500727798212,1.3670596013304135,98
7.702775721903835,1.3708701791227431,99
7.780605395207376,1.3770782844925762,100
7.868652591851534,1.3880755066718853,101
7.929562348354144,1.405583403546343,102
8.006195007434432,1.4172053812712422,103
8.091386085880456,1.4164287623455365,104
8.161102314872164,1.4240205068268066,105
8.242535195536682,1.4255288527204013,106
8.319922289826176,1.4377807554831359,107
8.393364929822338,1.447573892505674,108
8.46735675258837,1.4562171195103404,109
8.545316551754754,1.461247529245757,110
8.63662084378738,1.4681961977881972,111
8.712912910680801,1.5012739086077336,112
8.789505071025676,1.5011648279537133,113
8.875016900362908,1.5105579407854812,114
8.939563870614887,1.5163609149530608,115
9.01797456308414,1.5243747283142925,116
9.10129973238681,1.5468599865414439,117
9.171356384763152,1.570677880487121,118
9.243824671890248,1.58280408018144,119
9.320049182560398,1.597219597999107,120
9.390061695389072,1.6197455249701056,121
9.474727333470891,1.642070065827866,122
9.558663878998319,1.6469440534455675,123
9.637325793610463,1.6607395004806318,124
